2026-05-20 10:16:36.843 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: ApexTrigger
2026-05-20 10:16:36.848 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listing all metadata types from org
2026-05-20 10:16:36.850 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 1 components for type: ApexClass
2026-05-20 10:16:36.852 [main] WARN  org.solenopsis.metadata.list.ListMetadata - Failed to list metadata type: BadType - Type not found
2026-05-20 10:16:36.853 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Listed 1 total components across 2 metadata types
2026-05-20 10:16:36.856 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 0 components for type: CustomObject
2026-05-20 10:16:36.873 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 2 metadata types
2026-05-20 10:16:36.876 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:16:36.877 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:16:36.880 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:16:36.925 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:16:36.927 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 100 components for type: ApexClass
2026-05-20 10:16:36.929 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 75 components for type: Layout
2026-05-20 10:16:36.929 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 50 components for type: CustomObject
2026-05-20 10:16:36.932 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 225 components across 3 types
2026-05-20 10:16:36.937 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating statistics for 0 metadata types
2026-05-20 10:16:36.939 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:16:36.945 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:16:36.946 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: ApexClass
2026-05-20 10:16:36.948 [main] WARN  org.solenopsis.metadata.stats.MetadataStatistics - Failed to list metadata type: BadType - Type not found
2026-05-20 10:16:36.949 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 5 components across 2 types
2026-05-20 10:16:36.960 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:16:36.961 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 10 components for type: Type1
2026-05-20 10:16:36.962 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 20 components for type: Type2
2026-05-20 10:16:36.963 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 5 components for type: Type3
2026-05-20 10:16:36.964 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 15 components for type: Type4
2026-05-20 10:16:36.964 [main] INFO  org.solenopsis.metadata.list.ListMetadata - Found 8 components for type: Type5
2026-05-20 10:16:36.965 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 58 components across 5 types
2026-05-20 10:16:36.972 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
2026-05-20 10:16:36.973 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Statistics generated: 0 components across 0 types
2026-05-20 10:16:36.979 [main] INFO  org.solenopsis.metadata.stats.MetadataStatistics - Generating metadata statistics for API version 60.0
